t,open,high,low,close,volume
2009-01-02,65.90853915662652,68.09480206540448,65.47857411790018,67.745,227566300.0
2009-01-05,67.5036760366182,68.25428368336026,66.96440452342488,67.664,240349700.0
2009-01-06,68.2398870225741,68.83017224778004,67.54028971862631,68.116,328260900.0
2009-01-07,67.04524098378735,67.2347166648285,65.73348626888716,66.076,280899200.0
2009-01-08,65.70370386643233,66.38143728031635,65.34661851933215,66.345,263834400.0
2009-01-09,66.4325046582108,66.54910405208217,62.20577663037379,64.924,330953600.0
2009-01-12,64.74234157561817,64.79335422656699,62.97147383553766,63.365,277858500.0
2009-01-13,63.20407679944898,64.04213385374813,62.817841809206755,63.481,356432300.0
2009-01-14,62.33764252696456,62.49068092924024,60.60320730117339,61.485,435491600.0
2009-01-15,61.30294834123223,62.12644253554502,59.553934123222746,61.507,532647300.0
2009-01-16,62.571004937691036,62.66574324006582,60.52320009405125,61.988,399237200.0
2009-01-20,61.38220739729429,61.98706590542387,58.336052500930876,58.715,419855200.0
2009-01-21,59.713348483045806,61.38946151100535,58.64209363474123,61.251,364360700.0
2009-01-22,60.063512749244715,61.24408652567976,59.152576193353475,60.304,427940300.0
2009-01-23,58.955473468896656,61.20729563229455,58.71498760678619,60.566,386800600.0
2009-01-26,60.91641228489483,62.206304015296354,60.34798542065009,60.982,317978800.0
2009-01-27,61.309501123861345,62.05282325801491,60.70464095587365,61.601,273789700.0
2009-01-28,62.96354273944388,64.09309703627417,62.72305698592516,63.685,330007000.0
2009-01-29,62.752853459491426,63.75853151981076,61.55769982259019,61.616,294392500.0
2009-01-30,61.92880309066764,62.234876252565506,59.91017771338887,60.362,383383600.0
2009-02-02,59.443964640348746,60.61724872850569,59.254490191329616,60.18,288233300.0
2009-02-03,60.55959636971579,61.47782851683784,59.918291378075004,61.026,278385800.0
2009-02-04,61.43389055562223,62.21365642625705,60.515661586463466,60.727,322989300.0
2009-02-05,60.267246068345756,62.1546967009578,56.64538134090104,61.63,417679400.0
2009-02-06,61.84204207863877,63.649351345136814,61.710866406070366,63.387,366101700.0
2009-02-09,63.371975200918484,63.9403990815155,62.90557611940299,63.474,240075200.0
2009-02-10,62.868834315966794,63.422680543857545,60.085028275779095,60.566,536212800.0
2009-02-11,60.814686602870815,61.25194019138756,60.04949282296651,60.924,324442500.0
2009-02-12,59.88116650729142,61.083599569686825,59.064969519483626,60.967,469302200.0
2009-02-13,60.88670915901401,61.38954374093764,60.29642508458191,60.311,293998400.0
2009-02-17,58.417030042918455,60.45754506437768,57.69556223175966,57.732,478910100.0
2009-02-18,58.146848918132356,58.256161204605846,57.04643856763254,57.593,362964800.0
2009-02-19,58.18373190074187,58.40964568943463,56.85739933486824,56.974,316867500.0
2009-02-20,55.9171609403255,57.090452079566006,55.21755877034358,56.42,477176600.0
2009-02-23,57.03906590756865,57.03906590756865,54.35727515070328,54.401,379641400.0
2009-02-24,54.86802478058854,56.80651522973671,54.43805885389778,56.464,426260900.0
2009-02-25,56.2157624560947,57.148562247951084,55.115350201639124,56.019,461985800.0
2009-02-26,56.71124781803754,58.059433483205495,55.04241258926209,55.108,363353900.0
2009-02-27,53.93530055457865,55.159612200730415,53.78954916813201,53.877,470510900.0
2009-03-02,52.84920679886686,53.86946175637395,51.28238668555242,51.45,426452600.0
2009-03-03,52.18628571428572,52.25187384044528,50.750634508348796,51.064,443761000.0
2009-03-04,51.908626655513736,53.103771225428694,51.06328049630559,52.273,462753100.0
2009-03-05,51.085375,52.2732375,49.6788875,50.138,485549400.0
2009-03-06,50.57479686593152,51.33997751015671,48.898686883343004,50.225,490470000.0
2009-03-09,49.518400381735425,51.01233299075025,49.35807590662164,49.635,379905300.0
2009-03-10,50.65552085354026,52.73975031176389,50.55349563530553,52.594,406227900.0
2009-03-11,53.19834801762114,53.744906387665196,52.34571696035242,52.936,356648300.0
2009-03-12,52.92218569536424,55.20318874172186,52.44849496688742,55.021,409702700.0
2009-03-13,55.392699566303065,56.09959232487844,54.45989262715206,55.451,337474700.0
2009-03-16,56.08462536250988,56.82066319535988,55.24656248352228,55.283,360644900.0
2009-03-17,55.43632872857507,57.105175748273204,54.984501151189555,56.974,356814300.0
2009-03-18,56.7040496684599,58.955887651695235,56.16477455273364,58.249,473273200.0
2009-03-19,58.978224474284275,59.02923739549025,57.34581099569293,57.528,428520400.0
2009-03-20,57.81688332681529,57.92699674097249,56.179863903011345,56.312,371078200.0
2009-03-23,57.801404037946966,60.40738555096084,57.48574993918755,60.356,419933300.0
2009-03-24,59.63681240694789,60.4589841191067,59.100932630272965,59.167,330271000.0
2009-03-25,59.62950190300798,60.70860282381829,58.036543400859415,59.791,441775100.0
2009-03-26,60.37868487546625,61.14947659728071,59.69598363614487,61.01,422025200.0
2009-03-27,60.23199914226198,60.584361842911406,59.688773312094106,59.909,322332300.0
2009-03-30,58.579418707957856,58.630804162964836,57.228715319202934,57.838,324108500.0
2009-03-31,58.403363179074454,59.519163983903425,58.02898264587525,58.374,364238300.0
2009-04-01,57.64776276831976,59.76927091043671,57.500945595854915,59.505,377018300.0
2009-04-02,60.98806903991369,62.111224379719516,59.55659654800431,61.245,476230700.0
2009-04-03,61.28875456919059,61.868681699501536,60.68680488962734,61.854,284646300.0
2009-04-06,61.17813947368421,61.868173684210525,60.40735657894737,61.369,264866600.0
2009-04-07,60.37845070422535,60.67208450704226,59.83522816901409,59.938,258947800.0
2009-04-08,60.23898024960621,60.88497467587544,59.85725627044712,60.584,230402800.0
2009-04-09,62.15514089266985,62.999340869362534,61.90555133434331,62.992,269653500.0
2009-04-13,62.33798811604335,63.52719608528487,62.088401258301296,63.006,224847500.0
2009-04-14,62.41917723770006,62.95505868405454,61.721797273266155,61.92,276598800.0
2009-04-15,61.54593595307918,62.70579495601173,61.377095718475076,62.581,250726100.0
